rank,spanish,english,form,infinitive
1036,podido,been able,verb,poder
1037,nación,nation,noun,
1038,ido,gone,verb,ir
1039,crear,to create,verb,crear
1040,motivo,motive,noun,
1041,tercer,third,adjective,
1042,detrás,behind,preposition,
1043,significa,it means,verb,significar
1044,empleo,employment,noun,
1045,escrito,written,adjective,
1046,departamento,department,noun,
1047,contacto,contact,noun,
1048,casas,houses,noun,
1049,red,network,noun,
1050,rostro,face,noun,
1051,oportunidad,opportunity,noun,
1052,procesos,processes,noun,
1053,terreno,terrain,noun,
1054,daba,I/he/she gave,verb,dar
1055,calles,streets,noun,
1056,lista,list,noun,
1057,nacionales,national,adjective,
1058,funciones,functions,noun,
1059,leyes,laws,noun,
1060,acceso,access,noun,
1061,técnico,technical,adjective,
1062,visión,vision,noun,
1063,preguntó,he/she asked,verb,preguntar
1064,jesús,Jesus,noun,
1065,grave,serious,adjective,
1066,tenga,I/he/she have/has,verb,tener
1067,lunes,Monday,noun,
1068,aplicación,application,noun,
1069,junta,board,noun,
1070,lugares,places,noun,
1071,verano,summer,noun,
1072,capítulo,chapter,noun,
1073,éstos,these,pronoun,
1074,pensamiento,thought,noun,
1075,york,York,noun,
1076,frecuencia,frequency,noun,
1077,gestión,management,noun,
1078,viernes,Friday,noun,
1079,javier,Javier,noun,
1080,sitio,site,noun,
1081,agosto,August,noun,
1082,propiedad,property,noun,
1083,profesionales,professionals,noun,
1084,últimas,last,adjective,
1085,gusta,it pleases,verb,gustar
1086,objetivos,objectives,noun,
1087,movimientos,movements,noun,
1088,alcalde,mayor,noun,
1089,ejecutivo,executive,adjective,
1090,ciudadanos,citizens,noun,
1091,necesidades,needs,noun,
1092,exposición,exhibition,noun,
1093,término,term,noun,
1094,veinte,twenty,adjective,
1095,cuál,which,pronoun,
1096,clara,clear,adjective,
1097,altura,height,noun,
1098,pequeños,small,adjective,
1099,presión,pressure,noun,
1100,moral,moral,adjective,
1101,lograr,to achieve,verb,lograr
1102,comité,committee,noun,
1103,teléfono,telephone,noun,
1104,asuntos,matters,noun,
1105,peligro,danger,noun,
1106,escena,scene,noun,
1107,gusto,taste,noun,
1108,palacio,palace,noun,
1109,hotel,hotel,noun,
1110,colombia,Colombia,noun,
1111,aseguró,he/she assured,verb,asegurar
1112,isla,island,noun,
1113,guardia,guard,noun,
1114,confianza,trust,noun,
1115,ciudades,cities,noun,
1116,esperar,to wait,verb,esperar
1117,café,coffee,noun,
1118,demanda,demand,noun,
1119,personajes,characters,noun,
1120,directamente,directly,adverb,
1121,salió,he/she left,verb,salir
1122,discurso,speech,noun,
1123,sánchez,Sanchez,noun,
1124,representantes,representatives,noun,
1125,normal,normal,adjective,
1126,pena,pain,noun,
1127,jugadores,players,noun,
1128,supone,it supposes,verb,suponer
1129,industrial,industrial,adjective,
1130,referencia,reference,noun,
1131,febrero,February,noun,
1132,entender,to understand,verb,entender
1133,esté,I/he/she am/is,verb,estar
1134,física,physics,noun,
1135,dejado,left,verb,dejar
1136,alimentos,foods,noun,
1137,pies,feet,noun,
1138,doña,Mrs.,noun,
1139,protección,protection,noun,
1140,autores,authors,noun,
1141,marido,husband,noun,
1142,podrían,they could,verb,poder
1143,llamada,call,noun,
1144,brazos,arms,noun,
1145,intervención,intervention,noun,
1146,sal,salt,noun,
1147,páginas,pages,noun,
1148,nueve,nine,adjective,
1149,pueblos,towns,noun,
1150,temporada,season,noun,
1151,tus,your,adjective,
1152,abajo,below,adverb,
1153,aquello,that,pronoun,
1154,maestro,teacher,noun,
1155,internacionales,international,adjective,
1156,técnicas,techniques,noun,
1157,estás,you are,verb,estar
1158,esposa,wife,noun,
1159,crítica,criticism,noun,
1160,totalmente,totally,adverb,
1161,perder,to lose,verb,perder
1162,venta,sale,noun,
1163,finales,finals,noun,
1164,ramón,Ramon,noun,
1165,contar,to count,verb,contar
1166,diferencias,differences,noun,
1167,familiar,familiar,adjective,
1168,martínez,Martinez,noun,
1169,kilómetros,kilometers,noun,
1170,mala,bad,adjective,
1171,fundamental,fundamental,adjective,
1172,enorme,enormous,adjective,
1173,puedan,they can,verb,poder
1174,líneas,lines,noun,
1175,ofrece,he/she offers,verb,ofrecer
1176,comercial,commercial,adjective,
1177,pan,bread,noun,
1178,aires,airs,noun,
1179,profesor,professor,noun,
1180,inversión,investment,noun,
1181,municipal,municipal,adjective,
1182,declaraciones,statements,noun,
1183,funcionarios,officials,noun,
1184,aguas,waters,noun,
1185,responsable,responsible,adjective,
1186,sábado,Saturday,noun,
1187,alguno,some,adjective,
1188,federal,federal,adjective,
1189,señala,he/she points out,verb,señalar
1190,conflicto,conflict,noun,
1191,dicha,said,adjective,
1192,efe,EFE,noun,
1193,dirigentes,leaders,noun,
1194,cambiar,to change,verb,cambiar
1195,superficie,surface,noun,
1196,necesita,he/she needs,verb,necesitar
1197,puedan,they can,verb,poder
1198,tantos,so many,adjective,
1199,golpe,blow,noun,
1200,públicos,public,adjective,
1201,públicas,public,adjective,
1202,equipos,teams,noun,
1203,literatura,literature,noun,
1204,pruebas,tests,noun,
1205,alemania,Germany,noun,
1206,circunstancias,circumstances,noun,
1207,tienes,you have,verb,tener
1208,documento,document,noun,
1209,fiesta,party,noun,
1210,simplemente,simply,adverb,
1211,enrique,Enrique,noun,
1212,aceite,oil,noun,
1213,establecer,to establish,verb,establecer
1214,médicos,doctors,noun,
1215,eres,you are,verb,ser
1216,locales,local,adjective,
1217,empezó,he/she began,verb,empezar
1218,pobre,poor,adjective,
1219,debería,I/he/she should,verb,deber
1220,llevó,he/she carried,verb,llevar
1221,parlamento,parliament,noun,
1222,territorio,territory,noun,
1223,sale,he/she leaves,verb,salir
1224,treinta,thirty,adjective,
1225,coche,car,noun,
1226,clases,classes,noun,
1227,afirma,he/she affirms,verb,afirmar
1228,oficiales,official,adjective,
1229,diálogo,dialogue,noun,
1230,vi,I saw,verb,ver
1231,respeto,respect,noun,
1232,tratado,treaty,noun,
1233,llevaba,I/he/she carried,verb,llevar
1234,revista,magazine,noun,
1235,copa,cup,noun,
1236,pintura,painting,noun,
1237,nombres,names,noun,
1238,propósito,purpose,noun,
1239,leche,milk,noun,
1240,actualidad,present time,noun,
1241,constituye,it constitutes,verb,constituir
1242,tarea,task,noun,
1243,alcanzar,to reach,verb,alcanzar
1244,competencia,competition,noun,
1245,normas,norms,noun,
1246,plata,silver,noun,
1247,vecinos,neighbors,noun,
1248,fenómeno,phenomenon,noun,
1249,intención,intention,noun,
1250,dando,giving,verb,dar
1251,diputados,deputies,noun,
1252,judicial,judicial,adjective,
1253,cualquiera,anyone,pronoun,
1254,fe,faith,noun,
1255,jornada,workday,noun,
1256,italia,Italy,noun,
1257,ganar,to win,verb,ganar
1258,candidato,candidate,noun,
1259,calor,heat,noun,
1260,esperanza,hope,noun,
1261,recién,recently,adverb,
1262,suele,he/she usually does,verb,soler
1263,miles,thousands,noun,
1264,ritmo,rhythm,noun,
1265,vive,he/she lives,verb,vivir
1266,quizás,perhaps,adverb,
1267,pasos,steps,noun,
1268,sensación,sensation,noun,
1269,representación,representation,noun,
1270,presidencia,presidency,noun,
1271,triunfo,triumph,noun,
1272,ayuntamiento,city hall,noun,
1273,plantas,plants,noun,
1274,niña,girl,noun,
1275,frío,cold,adjective,
1276,tono,tone,noun,
1277,compañeros,companions,noun,
1278,quieren,they want,verb,querer
1279,pesos,pesos,noun,
1280,delante,in front,adverb,
1281,propias,own,adjective,
1282,plano,plane,noun,
1283,enfermedades,diseases,noun,
1284,institución,institution,noun,
1285,edificio,building,noun,
1286,nota,note,noun,
1287,franco,frank,adjective,
1288,jugar,to play,verb,jugar
1289,the,the,article,
1290,representa,he/she represents,verb,representar
1291,gesto,gesture,noun,
1292,mensaje,message,noun,
1293,vasco,Basque,adjective,
1294,pudiera,I/he/she could,verb,poder
1295,gómez,Gomez,noun,
1296,influencia,influence,noun,
1297,pocas,few,adjective,
1298,realizado,carried out,verb,realizar
1299,conducta,conduct,noun,
1300,objetos,objects,noun,
1301,tamaño,size,noun,
1302,provincia,province,noun,
1303,europeo,European,adjective,
1304,verde,green,adjective,
1305,informó,he/she informed,verb,informar
1306,escribir,to write,verb,escribir
1307,materiales,materials,noun,
1308,eduardo,Eduardo,noun,
1309,cumplir,to fulfill,verb,cumplir
1310,pidió,he/she asked for,verb,pedir
1311,alumnos,students,noun,
1312,ámbito,scope,noun,
1313,muertos,dead,adjective,
1314,explica,he/she explains,verb,explicar
1315,consecuencias,consequences,noun,
1316,refiere,he/she refers,verb,referir
1317,comer,to eat,verb,comer
1318,fines,purposes,noun,
1319,versión,version,noun,
1320,abierto,open,adjective,
1321,debate,debate,noun,
1322,barrio,neighborhood,noun,
1323,labor,labor,noun,
1324,fondos,funds,noun,
1325,justo,fair,adjective,
1326,tradición,tradition,noun,
1327,diferente,different,adjective,
1328,piensa,he/she thinks,verb,pensar
1329,tecnología,technology,noun,
1330,mantiene,he/she maintains,verb,mantener
1331,situaciones,situations,noun,
1332,fase,phase,noun,
1333,histórico,historic,adjective,
1334,agentes,agents,noun,
1335,planta,plant,noun,
1336,venezuela,Venezuela,noun,
1337,f,F,noun,
1338,actuación,performance,noun,
1339,iban,they went,verb,ir
1340,actos,acts,noun,
1341,posibles,possible,adjective,
1342,león,Leon,noun,
1343,mamá,mom,noun,
1344,velocidad,speed,noun,
1345,familiares,relatives,noun,
1346,especies,species,noun,
1347,cabe,it fits,verb,caber
1348,asamblea,assembly,noun,
1349,comunidades,communities,noun,
1350,museo,museum,noun,
1351,conferencia,conference,noun,
1352,prácticamente,practically,adverb,
1353,autoridad,authority,noun,
1354,sujeto,subject,noun,
1355,alfonso,Alfonso,noun,
1356,tratar,to try,verb,tratar
1357,hacerse,to become,verb,hacer
1358,pérdida,loss,noun,
1359,dificultades,difficulties,noun,
1360,rato,while,noun,
1361,pagar,to pay,verb,pagar
1362,colegio,school,noun,
1363,sabes,you know,verb,saber
1364,l,L,noun,
1365,personaje,character,noun,
1366,áreas,areas,noun,
1367,audiencia,audience,noun,
1368,doce,twelve,adjective,
1369,haga,I/he/she do/does,verb,hacer
1370,periódico,newspaper,noun,
1371,v,V,noun,
1372,distribución,distribution,noun,
1373,ausencia,absence,noun,
1374,entrevista,interview,noun,
1375,recibió,he/she received,verb,recibir
1376,añadió,he/she added,verb,añadir
1377,cocina,kitchen,noun,
1378,edición,edition,noun,
1379,económicos,economic,adjective,
1380,naturales,natural,adjective,
1381,parecer,to seem,verb,parecer
1382,santo,saint,noun,
1383,vieja,old,adjective,
1384,mario,Mario,noun,
1385,corresponde,it corresponds,verb,corresponder
1386,decidió,he/she decided,verb,decidir
1387,perú,Peru,noun,
1388,llegada,arrival,noun,
1389,comienza,he/she begins,verb,comenzar
1390,organizaciones,organizations,noun,
1391,tendencia,tendency,noun,
1392,escenario,stage,noun,
1393,definitiva,definitive,adjective,
1394,deberá,he/she will have to,verb,deber
1395,indicó,he/she indicated,verb,indicar
1396,noticia,news,noun,
1397,inglés,English,adjective,
1398,reina,queen,noun,
1399,ustedes,you,pronoun,
1400,madera,wood,noun,
1401,alemán,German,adjective,
1402,habitantes,inhabitants,noun,
1403,recibir,to receive,verb,recibir
1404,salvo,except,preposition,
1405,familias,families,noun,
1406,miembro,member,noun,
1407,escritor,writer,noun,
1408,conoce,he/she knows,verb,conocer
1409,cuidado,care,noun,
1410,identidad,identity,noun,
1411,quiso,he/she wanted,verb,querer
1412,pareja,couple,noun,
1413,evidente,evident,adjective,
1414,brasil,Brazil,noun,
1415,ciertos,certain,adjective,
1416,siguen,they follow,verb,seguir
1417,declaración,declaration,noun,
1418,cadena,chain,noun,
1419,acaba,he/she finishes,verb,acabar
1420,consiste,it consists,verb,consistir
1421,presentación,presentation,noun,
1422,cuentas,accounts,noun,
1423,azul,blue,adjective,
1424,década,decade,noun,
1425,puertas,doors,noun,
1426,comida,food,noun,
1427,inmediato,immediate,adjective,
1428,marca,brand,noun,
1429,antiguo,ancient,adjective,
1430,rojo,red,adjective,
1431,debemos,we must,verb,deber
1432,instante,instant,noun,
1433,operaciones,operations,noun,
1434,iniciativa,initiative,noun,
1435,caer,to fall,verb,caer
1436,luna,moon,noun,
1437,veía,I/he/she saw,verb,ver
1438,verdadero,true,adjective,
1439,habitación,room,noun,
1440,manifestó,he/she stated,verb,manifestar
1441,tío,uncle,noun,
1442,quedado,stayed,verb,quedar
1443,martes,Tuesday,noun,
1444,pleno,full,adjective,
1445,declaró,he/she declared,verb,declarar
1446,juegos,games,noun,
1447,mínimo,minimum,adjective,
1448,aparición,appearance,noun,
1449,estará,he/she will be,verb,estar
1450,transporte,transport,noun,
1451,ven,they see,verb,ver
1452,pretende,he/she intends,verb,pretender
1453,tantas,so many,adjective,
1454,sede,headquarters,noun,
1455,comportamiento,behavior,noun,
1456,periodistas,journalists,noun,
1457,animal,animal,noun,
1458,convertido,converted,verb,convertir
1459,brazo,arm,noun,
1460,hermanos,brothers,noun,
1461,rico,rich,adjective,
1462,anunció,he/she announced,verb,anunciar
1463,presupuesto,budget,noun,
1464,estrategia,strategy,noun,
1465,naciones,nations,noun,
1466,utilizar,to use,verb,utilizar
1467,buenas,good,adjective,
1468,compromiso,commitment,noun,
1469,acaso,perhaps,adverb,
1470,completo,complete,adjective,
1471,pelo,hair,noun,
1472,piedra,stone,noun,
1473,medicina,medicine,noun,
1474,campos,fields,noun,
1475,liga,league,noun,
1476,vaya,I/he/she go/goes,verb,ir
1477,disposición,disposition,noun,
1478,permanente,permanent,adjective,
1479,método,method,noun,
1480,sentía,I/he/she felt,verb,sentir
1481,próxima,next,adjective,
1482,tierras,lands,noun,
1483,error,error,noun,
1484,incremento,increase,noun,
1485,piso,floor,noun,
1486,socialistas,socialists,noun,
1487,similar,similar,adjective,
1488,viento,wind,noun,
1489,salvador,Salvador,noun,
1490,seres,beings,noun,
1491,posteriormente,subsequently,adverb,
1492,dispuesto,willing,adjective,
1493,poeta,poet,noun,
1494,económicas,economic,adjective,
1495,secreto,secret,noun,
1496,funcionamiento,functioning,noun,
1497,debajo,underneath,preposition,
1498,recordar,to remember,verb,recordar
1499,valencia,Valencia,noun,
1500,presentó,he/she presented,verb,presentar
1501,jueves,Thursday,noun,
1502,corriente,current,adjective,
1503,ingresos,income,noun,
1504,intento,I try,verb,intentar
1505,tuvieron,they had,verb,tener
1506,colores,colors,noun,
1507,altos,tall,adjective,
1508,sevilla,Seville,noun,
1509,hojas,leaves,noun,
1510,probablemente,probably,adverb,
1511,búsqueda,search,noun,
1512,pequeñas,small,adjective,
1513,oferta,offer,noun,
1514,washington,Washington,noun,
1515,cataluña,Catalonia,noun,
1516,oficina,office,noun,
1517,produjo,he/she produced,verb,producir
1518,soldados,soldiers,noun,
1519,pasada,past,adjective,
1520,volumen,volume,noun,
1521,parecen,they seem,verb,parecer
1522,causas,causes,noun,
1523,dieron,they gave,verb,dar
1524,división,division,noun,
1525,darle,to give him/her,verb,dar
1526,clave,key,noun,
1527,ana,Ana,noun,
1528,reciente,recent,adjective,
1529,votos,votes,noun,
1530,logró,he/she achieved,verb,lograr
1531,piernas,legs,noun,
1532,sirve,he/she serves,verb,servir
1533,carmen,Carmen,noun,
1534,deuda,debt,noun,
1535,noticias,news,noun,
1536,menores,minors,noun,
1537,querido,dear,adjective,
1538,pago,payment,noun,
1539,fig,fig,noun,
1540,recuerda,he/she remembers,verb,recordar
1541,podrán,they will be able,verb,poder
1542,independencia,independence,noun,
1543,ataque,attack,noun,
1544,igualmente,equally,adverb,
1545,necesaria,necessary,adjective,
1546,quedan,they remain,verb,quedar
1547,regional,regional,adjective,
1548,castro,Castro,noun,
1549,decisiones,decisions,noun,
1550,concepción,conception,noun,
1551,llegaron,they arrived,verb,llegar
1552,siente,he/she feels,verb,sentir
1553,juntos,together,adverb,
1554,sabemos,we know,verb,saber
1555,ropa,clothing,noun,
1556,parque,park,noun,
1557,empresarios,businessmen,noun,
1558,conmigo,with me,pronoun,
1559,procedimiento,procedure,noun,
1560,suma,sum,noun,
1561,elección,election,noun,
1562,leer,to read,verb,leer
1563,feliz,happy,adjective,
1564,ninguno,none,pronoun,
1565,continuación,continuation,noun,
1566,ministros,ministers,noun,
1567,verdadera,true,adjective,
1568,reacción,reaction,noun,
1569,podían,they could,verb,poder
1570,tanta,so much,adjective,
1571,tomó,he/she took,verb,tomar
1572,mente,mind,noun,
1573,tradicional,traditional,adjective,
1574,abierta,open,adjective,
1575,breve,brief,adjective,
1576,aparecen,they appear,verb,aparecer
1577,trataba,he/she was dealing with,verb,tratar
1578,recibido,received,adjective,
1579,mejorar,to improve,verb,mejorar
1580,ciertas,certain,adjective,
1581,aparte,apart,adverb,
1582,cárcel,jail,noun,
1583,entidad,entity,noun,
1584,investigaciones,investigations,noun,
1585,temperatura,temperature,noun,
1586,siento,I feel,verb,sentir
1587,londres,London,noun,
1588,directa,direct,adjective,
1589,portavoz,spokesperson,noun,
1590,eta,ETA,noun,
1591,responsables,responsible,adjective,
1592,ventana,window,noun,
1593,contrato,contract,noun,
1594,elemento,element,noun,
1595,privada,private,adjective,
1596,quince,fifteen,adjective,
1597,veo,I see,verb,ver
1598,os,you,pronoun,
1599,firma,signature,noun,
1600,incluye,he/she includes,verb,incluir
1601,pobres,poor,adjective,
1602,vas,you go,verb,ir
1603,abogado,lawyer,noun,
1604,presentar,to present,verb,presentar
1605,gobernador,governor,noun,
1606,próximos,next,adjective,
1607,jaime,Jaime,noun,
1608,hablando,speaking,verb,hablar
1609,canal,canal,noun,
1610,tráfico,traffic,noun,
1611,capitán,captain,noun,
1612,personalidad,personality,noun,
1613,género,gender,noun,
1614,generación,generation,noun,
1615,documentos,documents,noun,
1616,espectáculo,show,noun,
1617,vivo,I live,verb,vivir
1618,tendría,he/she would have,verb,tener
1619,preguntas,questions,noun,
1620,inmediatamente,immediately,adverb,
1621,cien,hundred,adjective,
1622,colaboración,collaboration,noun,
1623,hermana,sister,noun,
1624,conde,count,noun,
1625,mío,mine,pronoun,
1626,federación,federation,noun,
1627,cincuenta,fifty,adjective,
1628,sorpresa,surprise,noun,
1629,regiones,regions,noun,
1630,carga,load,noun,
1631,bienes,goods,noun,
1632,masa,mass,noun,
1633,cartas,letters,noun,
1634,reyes,kings,noun,
1635,principalmente,mainly,adverb,
1636,puestos,positions,noun,
1637,sombra,shadow,noun,
1638,andrés,Andrés,noun,
1639,criterios,criteria,noun,
1640,abrir,to open,verb,abrir
1641,cuyos,whose,pronoun,
1642,filosofía,philosophy,noun,
1643,miró,he/she looked,verb,mirar
1644,negra,black,adjective,
1645,margen,margin,noun,
1646,artista,artist,noun,
1647,constante,constant,adjective,
1648,encontraba,he/she was finding,verb,encontrar
1649,gastos,expenses,noun,
1650,morir,to die,verb,morir
1651,espacios,spaces,noun,
1652,figuras,figures,noun,
1653,miércoles,Wednesday,noun,
1654,venido,come,adjective,
1655,indica,he/she indicates,verb,indicar
1656,comienzo,beginning,noun,
1657,diseño,design,noun,
1658,cuarenta,forty,adjective,
1659,encontró,he/she found,verb,encontrar
1660,poesía,poetry,noun,
1661,t,t,other,
1662,planes,plans,noun,
1663,ee,EE,other,
1664,negocios,businesses,noun,
1665,integración,integration,noun,
1666,caída,fall,noun,
1667,entrega,delivery,noun,
1668,hacienda,estate,noun,
1669,acuerdos,agreements,noun,
1670,preciso,precise,adjective,
1671,cuello,neck,noun,
1672,banda,band,noun,
1673,suyo,his/hers,pronoun,
1674,realiza,he/she performs,verb,realizar
1675,frase,phrase,noun,
1676,bases,bases,noun,
1677,siglos,centuries,noun,
1678,decidido,decided,adjective,
1679,sentir,to feel,verb,sentir
1680,artistas,artists,noun,
1681,asegura,he/she assures,verb,asegurar
1682,culpa,blame,noun,
1683,original,original,adjective,
1684,únicamente,only,adverb,
1685,unidades,units,noun,
1686,ocurrió,it occurred,verb,ocurrir
1687,sexo,sex,noun,
1688,entra,he/she enters,verb,entrar
1689,hayan,they may have,verb,haber
1690,resolver,to resolve,verb,resolver
1691,misión,mission,noun,
1692,caja,box,noun,
1693,considerar,to consider,verb,considerar
1694,extranjeros,foreigners,noun,
1695,extremo,extreme,adjective,
1696,periodista,journalist,noun,
1697,reducción,reduction,noun,
1698,matrimonio,marriage,noun,
1699,quieres,you want,verb,querer
1700,mas,but,conjunction,
1701,películas,movies,noun,
1702,fui,I went,verb,ser/ir
1703,laboral,labor,adjective,
1704,importa,it matters,verb,importar
1705,seguía,he/she was following,verb,seguir
1706,negocio,business,noun,
1707,sexual,sexual,adjective,
1708,enseñanza,teaching,noun,
1709,agregó,he/she added,verb,agregar
1710,labios,lips,noun,
1711,resolución,resolution,noun,
1712,fundación,foundation,noun,
1713,hará,he/she will do,verb,hacer
1714,depende,it depends,verb,depender
1715,diego,Diego,noun,
1716,actor,actor,noun,
1717,técnicos,technicians,noun,
1718,belleza,beauty,noun,
1719,titular,holder,noun,
1720,roma,Rome,noun,
1721,logrado,achieved,adjective,
1722,víctimas,victims,noun,
1723,detalles,details,noun,
1724,europeos,Europeans,noun,
1725,caballo,horse,noun,
1726,huelga,strike,noun,
1727,carretera,road,noun,
1728,norteamericano,North American,adjective,
1729,producir,to produce,verb,producir
1730,antigua,ancient,adjective,
1731,alianza,alliance,noun,
1732,físico,physical,adjective,
1733,sacar,to take out,verb,sacar
1734,publicidad,advertising,noun,
1735,previsto,foreseen,adjective,
1736,entorno,environment,noun,
1737,preocupación,concern,noun,
1738,resistencia,resistance,noun,
1739,murió,he/she died,verb,morir
1740,éstas,these,pronoun,
1741,saben,they know,verb,saber
1742,generalmente,generally,adverb,
1743,h,h,other,
1744,dormir,to sleep,verb,dormir
1745,individuo,individual,noun,
1746,cuerpos,bodies,noun,
1747,corto,short,adjective,
1748,organismos,organisms,noun,
1749,especiales,special,adjective,
1750,internet,internet,noun,
1751,bancos,banks,noun,
1752,jugador,player,noun,
1753,esfuerzos,efforts,noun,
1754,beneficios,benefits,noun,
1755,terminar,to finish,verb,terminar
1756,equilibrio,balance,noun,
1757,oído,ear,noun,
1758,lectura,reading,noun,
1759,piezas,pieces,noun,
1760,límites,limits,noun,
1761,aproximadamente,approximately,adverb,
1762,abre,he/she opens,verb,abrir
1763,david,David,noun,
1764,llevado,carried,adjective,
1765,privado,private,adjective,
1766,salón,living room,noun,
1767,roberto,Roberto,noun,
1768,actuales,current,adjective,
1769,graves,serious,adjective,
1770,sonrisa,smile,noun,
1771,uu,UU,other,
1772,foto,photo,noun,
1773,perspectiva,perspective,noun,
1774,cifra,figure,noun,
1775,crédito,credit,noun,
1776,interesante,interesting,adjective,
1777,constitucional,constitutional,adjective,
1778,aceptar,to accept,verb,aceptar
1779,producido,produced,adjective,
1780,bolsa,bag,noun,
1781,factor,factor,noun,
1782,noches,nights,noun,
1783,reconocimiento,recognition,noun,
1784,juventud,youth,noun,
1785,habitual,habitual,adjective,
1786,categoría,category,noun,
1787,requiere,it requires,verb,requerir
1788,fuese,he/she were,verb,ser
1789,impresión,impression,noun,
1790,llamar,to call,verb,llamar
1791,duro,hard,adjective,
1792,universal,universal,adjective,
1793,explicar,to explain,verb,explicar
1794,presentan,they present,verb,presentar
1795,realización,realization,noun,
1796,rápido,fast,adjective,
1797,científicos,scientists,noun,
1798,serio,serious,adjective,
1799,científico,scientific,adjective,
1800,comprender,to understand,verb,comprender
1801,reino,kingdom,noun,
1802,preparación,preparation,noun,
1803,síntomas,symptoms,noun,
1804,recuperación,recovery,noun,
1805,utilización,utilization,noun,
1806,fuertes,strong,adjective,
1807,sonido,sound,noun,
1808,inteligencia,intelligence,noun,
1809,conversación,conversation,noun,
1810,establece,he/she establishes,verb,establecer
1811,hubiese,he/she had,verb,haber
1812,plena,full,adjective,
1813,venía,he/she was coming,verb,venir
1814,realizó,he/she performed,verb,realizar
1815,aznar,Aznar,noun,
1816,daniel,Daniel,noun,
1817,francesa,French,adjective,
1818,legal,legal,adjective,
1819,abrió,he/she opened,verb,abrir
1820,alegría,joy,noun,
1821,ojo,eye,noun,
1822,ocurrido,occurred,adjective,
1823,díaz,Díaz,noun,
1824,vuelto,returned,adjective,
1825,diputado,deputy,noun,
1826,correspondiente,corresponding,adjective,
1827,interna,internal,adjective,
1828,musical,musical,adjective,
1829,segundos,seconds,noun,
1830,recientemente,recently,adverb,
1831,empieza,he/she begins,verb,empezar
1832,decreto,decree,noun,
1833,china,China,noun,
1834,pareció,it seemed,verb,parecer
1835,células,cells,noun,
1836,suelen,they usually,verb,soler
1837,perfectamente,perfectly,adverb,
1838,azúcar,sugar,noun,
1839,inversiones,investments,noun,
1840,concentración,concentration,noun,
1841,espalda,back,noun,
1842,producen,they produce,verb,producir
1843,democrática,democratic,adjective,
1844,respondió,he/she responded,verb,responder
1845,sucede,it happens,verb,suceder
1846,contexto,context,noun,
1847,claramente,clearly,adverb,
1848,paredes,walls,noun,
1849,motivos,reasons,noun,
1850,ciencias,sciences,noun,
1851,tuve,I had,verb,tener
1852,isabel,Isabel,noun,
1853,argentino,Argentine,adjective,
1854,inicio,beginning,noun,
1855,mercados,markets,noun,
1856,métodos,methods,noun,
1857,estudiar,to study,verb,estudiar
1858,interpretación,interpretation,noun,
1859,culturales,cultural,adjective,
1860,prisión,prison,noun,
1861,llevan,they carry,verb,llevar
1862,amplio,wide,adjective,
1863,queremos,we want,verb,querer
1864,apertura,opening,noun,
1865,dedos,fingers,noun,
1866,vale,okay,other,
1867,creer,to believe,verb,creer
1868,voto,vote,noun,
1869,participar,to participate,verb,participar
1870,corrupción,corruption,noun,
1871,histórica,historical,adjective,
1872,teresa,Teresa,noun,
1873,papá,dad,noun,
1874,voces,voices,noun,
1875,pienso,I think,verb,pensar
1876,ángel,angel,noun,
1877,inicial,initial,adjective,
1878,escala,scale,noun,
1879,estrellas,stars,noun,
1880,página,page,noun,
1881,guatemala,Guatemala,noun,
1882,temor,fear,noun,
1883,encontrado,found,adjective,
1884,compra,purchase,noun,
1885,pensó,he/she thought,verb,pensar
1886,dudas,doubts,noun,
1887,reconocer,to recognize,verb,reconocer
1888,máxima,maximum,adjective,
1889,actuar,to act,verb,actuar
1890,reales,royal,adjective,
1891,universo,universe,noun,
1892,directo,direct,adjective,
1893,negociaciones,negotiations,noun,
1894,ricardo,Ricardo,noun,
1895,instalaciones,facilities,noun,
1896,artículos,articles,noun,
1897,aparato,device,noun,
1898,lleno,full,adjective,
1899,intelectual,intellectual,adjective,
1900,cifras,figures,noun,
1901,jardín,garden,noun,
1902,vacío,empty,adjective,
1903,ciclo,cycle,noun,
1904,valle,valley,noun,
1905,pensaba,he/she was thinking,verb,pensar
1906,forman,they form,verb,formar
1907,dirigente,leader,noun,
1908,pide,he/she asks,verb,pedir
1909,vehículos,vehicles,noun,
1910,cuestiones,issues,noun,
1911,puesta,put,adjective,
1912,llamó,he/she called,verb,llamar
1913,ruiz,Ruiz,noun,
1914,mostró,he/she showed,verb,mostrar
1915,pecho,chest,noun,
1916,honor,honor,noun,
1917,pedir,to ask,verb,pedir
1918,formar,to form,verb,formar
1919,numerosos,numerous,adjective,
1920,seguramente,surely,adverb,
1921,extraño,strange,adjective,
1922,recurso,resource,noun,
1923,independiente,independent,adjective,
1924,posiciones,positions,noun,
1925,sociedades,societies,noun,
1926,exteriores,exterior,adjective,
1927,cita,appointment,noun,
1928,periodo,period,noun,
1929,propuestas,proposals,noun,
1930,empleados,employees,noun,
1931,teniendo,having,verb,tener
1932,agencia,agency,noun,
1933,cuadros,paintings,noun,
1934,partida,departure,noun,
1935,tensión,tension,noun,
1936,raúl,Raúl,noun,
1937,mirar,to look,verb,mirar
1938,rica,rich,adjective,
1939,mexicano,Mexican,adjective,
1940,modelos,models,noun,
1941,regreso,return,noun,
1942,gobiernos,governments,noun,
1943,constituyen,they constitute,verb,constituir
1944,absoluta,absolute,adjective,
